Station (alphabetical by borough),Ridership 2019
103rd St (1),"3,766,055"
103rd St (6),"4,039,570"
"103rd St (B,C)","1,498,363"
103rd St-Corona Plaza (7),"6,399,657"
104th St (A),"536,924"
"104th St (J,Z)","774,888"
110th St (6),"3,316,061"
111st St (7),"3,836,999"
111st St (A),"760,163"
111st St (J),"350,344"
"116th St (2,3)","3,345,661"
116th St (6),"4,572,453"
"116th St (B,C)","2,288,111"
116th St-Columbia University (1),"4,380,469"
"121st St (J,Z)","675,500"
125th St (1),"2,368,025"
"125th St (2,3)","4,644,262"
"125th St (4,5,6)","8,554,857"
"125th St (A,B,C,D)","9,208,598"
"135th St (2,3)","4,268,823"
"135th St (B,C)","1,743,921"
137th St-City College (1),"3,874,783"
"138th St-Grand Concourse (4,5)","1,035,878"
145th St (1),"2,936,613"
145th St (3),"954,825"
"145th St (A,B,C,D)","7,464,653"
"149th St-Grand Concourse (2,4,5)","3,931,908"
"14th St (A,C,E)/8th Ave(L)","14,239,275"
"14th St (F,M,1,2,3)/6th Ave(L)","14,736,035"
"14th St-Union Sq (L,N,Q,R,W,4,5,6)","32,385,260"
"155th St (B,D)","1,123,868"
155th St (C),"895,036"
157th St (1),"3,739,786"
"15th St-Prospect Park (F,G)","1,964,534"
"161st St-Yankee Stadium (B,D,4)","8,254,928"
163rd St-Amsterdam Ave(C),"1,390,312"
167th St (4),"2,653,237"
"167th St (B,D)","2,734,530"
"168th St (A,C,1)","6,156,288"
169th St (F),"2,465,120"
170th St (4),"2,487,611"
"170th St (B,D)","2,130,461"
"174-175th Sts (B,D)","1,518,260"
"174th St (2,5)","2,057,118"
175th St (A),"4,182,625"
176th St (4),"1,713,696"
181st St (1),"3,523,536"
181st St (A),"3,404,841"
"182-183rd Sts (B,D)","1,513,443"
183rd St (4),"1,779,224"
18th Ave(D),"1,942,617"
18th Ave(F),"1,113,492"
18th Ave(N),"1,179,756"
18th St (1),"2,649,616"
190th St (A),"1,535,450"
191st St (1),"2,333,160"
1st Ave(L),"5,345,371"
207th St (1),"1,853,146"
20th Ave(D),"1,578,971"
20th Ave(N),"1,142,086"
215th St (1),"527,505"
"219th St (2,5)","979,390"
21st St (G),"535,536"
21st St-Queensbridge (F),"3,516,992"
"225th St (2,5)","1,187,486"
231st St (1),"2,919,305"
"233rd St (2,5)","1,445,532"
238th St (1),"1,204,095"
23rd St (1),"4,627,755"
23rd St (6),"8,659,806"
"23rd St (C,E)","7,272,610"
"23rd St (F,M)","8,619,473"
"23rd St (R,W)","7,085,694"
25th Ave(D),"1,507,759"
25th St (R),"1,153,842"
28th St (1),"4,493,352"
28th St (6),"5,834,989"
"28th St (R,W)","4,018,310"
2nd Ave(F),"5,583,944"
"30th Ave(N,W)","5,230,182"
33rd St (6),"8,934,900"
33rd St-Rawson St (7),"2,907,388"
"34th St-Herald Sq (B,D,F,M,N,Q,R,W)","39,385,436"
34th St-Hudson Yards (7),"6,108,384"
"34th St-Penn Station (1,2,3)","25,967,676"
"34th St-Penn Station (A,C,E)","25,631,364"
"36th Ave(N,W)","1,933,812"
"36th St (D,N,R)","4,254,406"
"36th St (M,R)","1,383,420"
"39th Ave(N,W)","761,816"
3rd Ave(L),"1,700,456"
3rd Ave-138th St (6),"2,503,850"
"3rd Ave-149th St (2,5)","6,768,255"
40th St-Lowery St (7),"3,074,342"
45th St (R),"2,461,410"
"46th St (M,R)","2,609,445"
46th St-Bliss St (7),"4,019,044"
"47-50th Sts-Rockefeller Center (B,D,F,M)","18,604,810"
"49th St (N,R,W)","7,410,041"
"4th Ave(F,G)/9th St (R)","3,924,882"
50th St (1),"8,134,360"
"50th St (C,E)","6,902,595"
50th St (D),"976,988"
52nd St (7),"1,907,368"
53rd St (R),"2,797,730"
55th St (D),"637,405"
57th St (F),"4,550,216"
"57th St-7th Ave(N,Q,R,W)","11,012,550"
"59th St (N,R)","3,664,480"
"59th St-Columbus Circle (A,B,C,D,1)","23,040,650"
"5th Ave-53rd St (E,M)","7,684,091"
"5th Ave-59th St (N,R,W)","4,995,128"
"63rd Dr-Rego Park (M,R)","4,753,706"
"65th St (M,R)","1,098,148"
66th St-Lincoln Center (1),"7,068,256"
"67th Ave(M,R)","2,641,450"
68th St-Hunter College (6),"6,699,711"
69th St (7),"1,564,387"
71st St (D),"1,722,921"
"72nd St (1,2,3)","12,379,560"
"72nd St (B,C)","2,837,041"
72nd St (Q),"9,528,891"
"74-Broadway (7)/Jackson Hts-Roosevelt Ave(E,F,M,R)","17,077,862"
"75th Ave(E,F)","1,059,027"
"75th St-Elderts Ln (J,Z)","1,029,388"
77th St (6),"7,821,286"
77th St (R),"1,674,582"
79th St (1),"4,745,863"
79th St (D),"1,926,290"
"7th Ave(B,D,E)","5,508,778"
"7th Ave(B,Q)","3,103,599"
"7th Ave(F,G)","3,675,218"
80th St (A),"1,298,825"
"81st St-Museum of Natural History (B,C)","4,407,607"
82nd St-Jackson Hts (7),"4,893,865"
85th St-Forest Pkwy (J),"1,061,293"
86th St (Q),"8,378,778"
86th St. (1),"5,659,795"
"86th St. (4,5,6)","13,537,308"
"86th St. (B,C)","3,232,637"
86th St. (N),"708,542"
86th St. (R),"3,434,888"
88th St (A),"853,110"
8th Ave(N),"3,801,700"
"8th St-New York University (R,W)","5,434,212"
90th St-Elmhurst Ave(7),"5,272,683"
"96th St (1,2,3)","11,628,887"
96th St (6),"5,145,222"
"96th St (B,C)","3,038,864"
96th St (Q),"6,154,837"
9th Ave(D),"1,708,387"
Alabama Ave(J),"628,299"
"Allerton Ave(2,5)","1,614,464"
Aqueduct Racetrack (A),"601,436"
Aqueduct-North Conduit Ave(A),"263,422"
Astor Place (6),"5,502,925"
"Astoria Blvd (N,W)","723,354"
"Astoria-Ditmars Blvd (N,W)","5,277,341"
Atlantic Ave(L),"469,819"
"Atlantic Ave-Barclays Center (B,D,N,Q,R,2,3,4,5)","13,939,794"
Avenue H (Q),"991,766"
Avenue I (F),"584,129"
Avenue J (Q),"1,775,846"
Avenue M (Q),"1,691,285"
Avenue N (F),"877,383"
Avenue P (F),"739,804"
Avenue U (F),"547,776"
Avenue U (N),"1,019,104"
Avenue U (Q),"2,301,941"
Avenue X (F),"758,700"
Bay 50th St (D),"821,873"
Bay Pkwy (D),"2,446,673"
Bay Pkwy (F),"362,802"
Bay Pkwy (N),"2,071,452"
Bay Ridge Ave(R),"2,354,120"
Bay Ridge-95th St (R),"1,743,441"
Baychester Ave(5),"1,094,872"
"Beach 105th St (A,S)","88,439"
Beach 25th St (A),"517,164"
Beach 36th St (A),"292,305"
Beach 44th St (A),"215,701"
Beach 60th St (A),"623,826"
Beach 67th St-Arverne By The Sea (A),"718,008"
"Beach 90th St (A,S)","348,771"
"Beach 98th St (A,S)","164,130"
Bedford Ave(L),"7,836,366"
"Bedford Park Blvd (B,D)","2,143,375"
Bedford Park Blvd-Lehman College (4),"1,538,253"
Bedford-Nostrand Avs (G),"2,795,387"
"Bergen St (2,3)","1,208,319"
"Bergen St (F,G)","3,577,496"
Beverley Rd (Q),"1,048,249"
"Beverly Rd (2,5)","1,284,232"
"Bowery (J,Z)","1,325,244"
"Bowling Green (4,5)","8,362,034"
"Briarwood-Van Wyck Blvd (E,F)","1,501,152"
"Brighton Beach (B,Q)","3,745,994"
"Broad Channel (A,S)","90,358"
"Broad St (J,Z)","2,172,223"
Broadway (G),"1,506,905"
"Broadway (N,W)","3,038,655"
"Broadway Junction (A,C,J,L,Z)","2,759,349"
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","12,455,155"
"Bronx Park East (2,5)","769,303"
Brook Ave(6),"1,823,468"
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","9,065,146"
Buhre Ave(6),"1,146,032"
"Burke Ave(2,5)","1,000,896"
Burnside Ave(4),"3,113,514"
Bushwick Ave-Aberdeen St (L),"600,188"
Canal St (1),"1,984,827"
"Canal St (A,C,E)","6,403,172"
"Canal St (J,N,Q,R,W,Z,6)","15,861,864"
Canarsie-Rockaway Pkwy (L),"3,302,691"
"Carroll St (F,G)","3,615,019"
Castle Hill Ave(6),"1,954,511"
Cathedral Pkwy-110th St (1),"3,703,893"
"Cathedral Pkwy-110th St (B,C)","2,396,624"
Central Ave(M),"1,472,067"
"Central Park North-110th St (2,3)","2,666,985"
"Chambers St (1,2,3)","5,941,546"
"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt (R,W)","20,820,549"
"Chauncey St (J,Z)","1,076,510"
Christopher St-Sheridan Sq (1),"3,412,332"
"Church Ave(2,5)","2,862,033"
"Church Ave(B,Q)","5,061,013"
"Church Ave(F,G)","3,051,736"
"City Hall (R,W)","1,710,380"
"Clark St (2,3)","1,781,419"
Classon Ave(G),"1,722,852"
Cleveland St (J),"880,879"
Clinton-Washington Avs (C),"2,144,338"
Clinton-Washington Avs (G),"1,609,332"
"Coney Island-Stillwell Ave(D,F,N,Q)","4,579,191"
Cortelyou Rd (Q),"1,957,538"
"Court Sq (E,G,M,7)","7,033,377"
"Court St (R)/Borough Hall (2,3,4,5)","10,135,722"
"Crescent St (J,Z)","1,391,945"
"Crown Heights-Utica Ave(3,4)","7,933,008"
Cypress Ave(6),"1,043,922"
Cypress Hills (J),"420,647"
"DeKalb Ave(B,Q,R)","6,708,640"
DeKalb Ave(L),"3,290,894"
"Delancey St (F)/Essex St (J,M,Z)","8,861,296"
Ditmas Ave(F),"1,177,275"
Dyckman St (1),"2,079,656"
Dyckman St (A),"2,238,372"
East 105th St (L),"1,001,343"
East 143rd St-St Mary's St (6),"313,938"
East 149th St (6),"1,467,410"
"East 180th St (2,5)","2,211,198"
East Broadway (F),"4,460,330"
Eastchester-Dyre Ave(5),"1,331,886"
"Eastern Pkwy-Brooklyn Museum (2,3)","1,338,351"
Elder Ave(6),"1,996,492"
"Elmhurst Ave(M,R)","3,867,341"
"Euclid Ave(A,C)","3,240,578"
Far Rockaway-Mott Ave(A),"1,347,765"
"Flatbush Ave-Brooklyn College (2,5)","5,684,108"
Flushing Ave(G),"732,897"
"Flushing Ave(J,M)","2,773,154"
Flushing-Main St (7),"17,568,837"
Fordham Rd (4),"3,120,976"
"Fordham Rd (B,D)","3,671,217"
Forest Ave(M),"1,310,163"
"Forest Hills-71st Ave(E,F,M,R)","8,027,234"
Fort Hamilton Pkwy (D),"1,207,971"
"Fort Hamilton Pkwy (F,G)","1,800,167"
Fort Hamilton Pkwy (N),"1,372,278"
"Franklin Ave(2,3,4,5)/Botanic Garden (S)","4,999,385"
"Franklin Ave(C,S)","1,977,940"
Franklin St (1),"1,567,005"
"Freeman St (2,5)","1,358,821"
Fresh Pond Rd (M),"1,776,084"
"Fulton St (A,C,J,Z,2,3,4,5)","27,715,365"
Fulton St (G),"1,768,601"
"Gates Ave(J,Z)","2,249,791"
Graham Ave(L),"2,709,511"
"Grand Army Plaza (2,3)","2,295,401"
"Grand Ave-Newtown (M,R)","5,730,846"
"Grand Central-42nd St (S,4,5,6,7)","45,745,700"
"Grand St (B,D)","8,024,364"
Grand St (L),"1,847,219"
Grant Ave(A),"1,749,932"
Greenpoint Ave(G),"3,089,912"
"Gun Hill Rd (2,5)","2,271,942"
Gun Hill Rd (5),"1,248,513"
Halsey St (J),"2,120,521"
Halsey St (L),"2,176,141"
Harlem-148th St (3),"1,120,454"
"Hewes St (J,M)","1,117,566"
"High St (A,C)","3,536,860"
Houston St (1),"4,496,793"
Howard Beach-JFK Airport (A),"1,171,303"
"Hoyt St (2,3)","2,293,256"
"Hoyt-Schermerhorn Sts (A,C,G)","3,605,153"
Hunters Point Ave(7),"1,885,928"
Hunts Point Ave(6),"3,174,354"
"Intervale Ave(2,5)","964,689"
Inwood-207th St (A),"3,150,731"
"Jackson Ave(2,5)","1,584,727"
"Jamaica Center-Parsons-Archer (E,J,Z)","10,010,419"
Jamaica-179th St (F),"6,262,449"
Jamaica-Van Wyck (E),"1,412,179"
"Jay St-MetroTech (A,C,F,R)","12,238,047"
Jefferson St (L),"2,237,997"
Junction Blvd (7),"6,883,317"
Junius St (3),"676,092"
"Kew Gardens-Union Turnpike (E,F)","7,625,674"
"Kings Hwy (B,Q)","5,938,819"
Kings Hwy (F),"1,129,071"
Kings Hwy (N),"1,371,311"
Kingsbridge Rd (4),"2,733,096"
"Kingsbridge Rd (B,D)","2,485,283"
Kingston Ave(3),"1,472,802"
Kingston-Throop Avs (C),"2,055,094"
Knickerbocker Ave(M),"1,544,093"
Kosciuszko St (J),"1,779,062"
Lafayette Ave(C),"1,599,887"
"Lexington Ave(N,Q,R)/59th St (4,5,6)","16,760,813"
"Lexington Ave-53rd St (E,M)/51st St (6)","18,957,465"
"Lexington Ave-63rd St (F,Q)","6,567,634"
Liberty Ave(C),"833,633"
Livonia Ave(L),"856,615"
Longwood Ave(6),"949,680"
"Lorimer St (J,M)","1,747,990"
Lorimer St (L)/Metropolitan Ave(G),"4,696,924"
Marble Hill-225th St (1),"1,561,844"
"Marcy Ave(J,M,Z)","4,717,791"
Mets-Willets Point (7),"2,025,162"
Middle Village-Metropolitan Ave(M),"1,090,449"
Middletown Rd (6),"597,839"
Montrose Ave(L),"1,933,886"
Morgan Ave(L),"2,100,475"
Morris Park (5),"711,229"
Morrison Ave-Soundview (6),"1,970,185"
Mosholu Pkwy (4),"2,491,758"
Mt Eden Ave(4),"1,551,038"
"Myrtle Ave(J,M,Z)","3,854,024"
Myrtle-Willoughby Avs (G),"1,820,637"
"Myrtle-Wyckoff Avs (L,M)","5,927,332"
Nassau Ave(G),"3,136,229"
Neck Rd (Q),"1,362,524"
Neptune Ave(F),"428,163"
"Nereid Ave(2,5)","1,006,617"
"Nevins St (2,3,4,5)","3,150,597"
New Lots Ave(3),"1,643,487"
New Lots Ave(L),"1,254,351"
New Utrecht Ave(N)/62nd St (D),"1,501,183"
"Newkirk Ave(2,5)","2,131,839"
"Newkirk Plaza (B,Q)","3,252,504"
"Northern Blvd (M,R)","2,008,091"
"Norwood Ave(J,Z)","948,571"
Norwood-205th St (D),"2,639,003"
Nostrand Ave(3),"1,370,372"
"Nostrand Ave(A,C)","5,608,232"
Ocean Pkwy (Q),"1,033,340"
Ozone Park-Lefferts Blvd (A),"2,216,647"
Park Pl (S),"519,984"
Parkchester (6),"4,734,709"
Parkside Ave(Q),"1,955,051"
Parsons Blvd (F),"2,086,114"
Pelham Bay Park (6),"2,134,403"
"Pelham Pkwy (2,5)","2,651,208"
Pelham Pkwy (5),"896,134"
Pennsylvania Ave(3),"1,360,708"
"President St (2,5)","1,037,219"
"Prince St (R,W)","4,342,692"
"Prospect Ave(2,5)","2,148,059"
Prospect Ave(R),"1,780,893"
"Prospect Park (B,Q,S)","3,323,334"
"Queens Plaza (E,M,R)","4,334,290"
"Queensboro Plaza (N,W,7)","5,018,211"
Ralph Ave(C),"1,829,126"
Rector St (1),"2,554,523"
"Rector St (R,W)","2,014,996"
Rockaway Ave(3),"1,451,431"
Rockaway Ave(C),"1,787,343"
