census_tract,race,population_density,count,percent,station_index_id,station_name,ridership_in_2019,polygons
36061019100,White,104363.5002,1,0.6138811771238201,1,103rd St,3766055,"c(-73.968379, 40.799446)"
36061016600,Hispanic or Latino,104242.9362,1,0.49586423274386765,2,103rd St,4039570,"c(-73.947478, 40.7906)"
36061014300,Black,111.6613295,6,0.3798449612403101,3,103rd St,1498363,"c(-73.96137008, 40.79606074)"
36081040501,Hispanic or Latino,42878.91575,1,0.8884192730346576,4,103rd St-Corona Plaza,6399657,"c(-73.8627, 40.749865)"
36081009400,Asian,43844.89342,1,0.263103802672148,5,104th St,536924,"c(-73.837683, 40.681711)"
36081002800,Hispanic or Latino,38025.26785,1,0.5768765133171913,6,104th St,774888,"c(-73.844435, 40.695166)"
36061017200,Hispanic or Latino,79196.38027,1,0.5486123874287815,7,110th St,3316061,"c(-73.94425, 40.79502)"
36081040102,Hispanic or Latino,100389.0741,1,0.8683444259567388,8,111th St,3836999,"c(-73.855334, 40.75173)"
36081009600,Asian,39225.51691,1,0.2836584585865046,9,111th St,760163,"c(-73.832163, 40.684331)"
36081012400,Hispanic or Latino,37645.82197,1,0.42742777584406544,10,111th St,350344,"c(-73.83679338, 40.69711481)"
36061019000,Black,91801.78093,1,0.43952160913291655,11,116th St,3345661,"c(-73.949625, 40.802098)"
36061018200,Hispanic or Latino,112369.4624,1,0.5381107491856677,12,116th St,4572453,"c(-73.941617, 40.798629)"
36061021800,Black,92993.42736,1,0.5127105666156202,13,116th St,2288111,"c(-73.95479778, 40.80505813)"
36061020500,White,46277.26041,1,0.5954608799522197,14,116th St-Columbia University,4380469,"c(-73.96411, 40.807722)"
36081014400,Asian,23622.57,1,0.3935162094763092,15,121st St,675500,"c(-73.828349, 40.700482)"
36061021100,White,78363.37308,1,0.31721910912717255,16,125th St,2368025,"c(-73.958372, 40.815581)"
36061020000,Black,57190.71063,1,0.4220665499124343,17,125th St,4644262,"c(-73.945495, 40.807754)"
36061019600,Hispanic or Latino,58922.49742,1,0.4557181840734309,18,125th St,8554857,"c(-73.937594, 40.804138)"
36061025700,Black,76767.28603,1,0.3693208430913349,19,125th St,9208598,"c(-73.952248, 40.81107167)"
36061022800,Black,85471.19556,1,0.568193256165073,20,135th St,4268823,"c(-73.94077, 40.814229)"
36061022102,Black,62316.68097,1,0.5146935348446684,21,135th St,1743921,"c(-73.94753481, 40.81790556)"
36061022301,Hispanic or Latino,100627.0162,1,0.7008817856158721,22,137th St-City College,3874783,"c(-73.953676, 40.822008)"
36005005100,Hispanic or Latino,32772.84035,2,0.6135624709707385,23,138th St-Grand Concourse,1035878,"c(-73.929849, 40.813224)"
36061022900,Hispanic or Latino,97867.1438,1,0.5607523510971787,24,145th St,2936613,"c(-73.95036, 40.826551)"
36061023200,Black,115674.689,1,0.5763552909068353,25,145th St,954825,"c(-73.936245, 40.820421)"
36061023100,Black,88939.8312,1,0.3436952016578989,26,145th St,7464653,"c(-73.94408793, 40.82476636)"
36005005100,Hispanic or Latino,32772.84035,2,0.6135624709707385,27,149th St-Grand Concourse,3931908,"c(-73.92705361, 40.81831679)"
36061005200,White,58395.99216,1,0.6452205882352942,28,14th St-Union Sq,32385260,"c(-73.99038654, 40.73510286)"
36061008100,White,116687.2767,2,0.7025340634152553,29,14th St/6th Ave,14736035,"c(-73.9980536, 40.73793182)"
36061008300,White,57299.82983,1,0.436542953542694,30,14th St/8th Ave,14239275,"c(-74.002134, 40.74033483)"
36061023501,Hispanic or Latino,97208.63113,1,0.40535714285714286,NA,155th St,1123868,"c(-73.941514, 40.830518)"
36061024302,Hispanic or Latino,87892.33302,1,0.4747823683846898,32,155th St,895036,"c(-73.938209, 40.830135)"
36061024100,Hispanic or Latino,110274.5183,1,0.5028901734104047,33,157th St,3739786,"c(-73.94489, 40.834041)"
36047016900,White,55135.33,1,0.6041713388652165,34,15th St-Prospect Park,1964534,"c(-73.97973581, 40.66003569)"
36005019500,Hispanic or Latino,88463.72833,1,0.6561459581835131,35,161st St-Yankee Stadium,8254928,"c(-73.9256715, 40.82806766)"
36061024301,Hispanic or Latino,98311.90072,1,0.5241672927623341,36,163rd St-Amsterdam Ave,1390312,"c(-73.939892, 40.836013)"
36005019700,Hispanic or Latino,126151.9059,2,0.7023429918203244,37,167th St,2653237,"c(-73.9214, 40.835537)"
36005019700,Hispanic or Latino,126151.9059,2,0.7023429918203244,38,167th St,2734530,"c(-73.918432, 40.833769)"
36061025100,Hispanic or Latino,37154.86292,1,0.7170966331438566,39,168th St,6156288,"c(-73.939847, 40.8406375)"
36081046000,Asian,72490.35416,1,0.4705312449539803,40,169th St,2465120,"c(-73.7934742, 40.7105175)"
36005022101,Hispanic or Latino,152124.1062,1,0.7420644838790302,41,170th St,2487611,"c(-73.917791, 40.840075)"
