census_tract,population_density
36005000100,5824.813074
36005000200,27333.65277
36005000400,21077.76903
36005001600,30941.31154
36005001901,28956.3405
36005001902,8893.519288
36005001903,5.70018014
36005001904,0
36005002001,65036.10827
36005002002,57945.18572
36005002300,117365.5989
36005002400,22.47456848
36005002500,110553.7186
36005002701,97778.52324
36005002702,83216.94869
36005002800,36564.49237
36005003100,49622.3372
36005003300,62699.51591
36005003500,67957.4331
36005003700,5305.657667
36005003800,68756.40494
36005003900,76007.0018
36005004001,36574.68133
36005004100,86168.42912
36005004200,38585.35945
36005004300,67600.87581
36005004400,45270.03101
36005004600,37814.79313
36005004800,71844.89891
36005005001,131233.7492
36005005002,148211.1094
36005005100,32772.84035
36005005200,30197.0805
36005005300,157126.9212
36005005400,89673.5042
36005005600,54447.79014
36005005902,94878.23327
36005006000,9713.734642
36005006100,36739.99082
36005006200,90367.35723
36005006301,21745.32158
36005006302,187.1549426
36005006400,64848.4599
36005006500,61838.55907
36005006700,84041.19628
36005006800,57361.79002
36005006900,95950.99656
36005007000,63469.50207
36005007100,27334.52608
36005007200,76477.8902
36005007300,77702.78137
36005007400,48931.92832
36005007500,76793.23181
36005007600,67749.35579
36005007700,45318.36186
36005007800,58438.5148
36005007900,89319.40651
36005008300,74116.57226
36005008400,42734.4964
36005008500,84034.59986
36005008600,57207.79429
36005008700,72470.28331
36005008900,73220.68513
36005009000,9885.498619
36005009200,52312.7941
36005009301,25188.90931
36005009302,751.9846844
36005009600,10846.65997
36005009800,29546.23474
36005011000,0
36005011502,33855.95161
36005011701,18155.26795
36005011702,0
36005011800,13932.93978
36005011900,88447.84438
36005012101,74351.68596
36005012102,84310.38833
36005012300,40694.96882
36005012500,63192.40941
36005012701,52029.41364
36005012901,81538.03948
36005013000,26715.1607
36005013100,60441.68786
36005013200,28511.52167
36005013300,97447.95701
36005013500,61902.50947
36005013800,10355.1602
36005014100,107362.4693
36005014300,37898.07514
36005014400,39025.42149
36005014500,100451.1489
36005014701,118984.2317
36005014702,113147.4647
36005014900,78418.07107
36005015100,73844.52679
36005015200,23621.53594
36005015300,46564.58015
36005015500,65120.80525
36005015700,44994.69763
36005015800,23029.07148
36005015900,62024.11394
36005016000,20966.1131
36005016100,56787.48388
36005016200,27355.69625
36005016300,150.2669563
36005016400,19215.05516
36005016500,14433.99699
36005016600,23797.62084
36005016700,42441.49266
36005016900,44209.92496
36005017100,148.3485692
36005017300,100215.8445
36005017500,119390.9755
36005017701,115472.2213
